date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2025-03-05,153.04591836734693,150.984693877551,153.04591836734693,148.9234693877551,207.0,15097998.0,2.04,-5000.0,0.0,0.0,0.0,71.52976460786283,71.52976460786283,71.52976460786283,71.52976460786283,71.52976460786283,148.9494897427832,146.5,144.0505102572168
2025-03-06,153.5612244897959,153.04591836734693,154.59183673469386,152.01530612244898,483.0,20735563.0,2.0,-26000.0,0.0,0.0,0.0,72.1836154285424,72.1836154285424,72.1836154285424,72.1836154285424,72.1836154285424,150.0874754901024,146.9,143.7125245098976
2025-03-07,150.46938775510202,153.5612244897959,153.5612244897959,149.95408163265304,905.0,14495466.0,1.95,-35000.0,0.0,-2000.0,0.0,62.85600641395176,62.85600641395176,62.85600641395176,62.85600641395176,62.85600641395176,150.03315017762014,147.0,143.96684982237986
2025-03-10,155.62244897959184,152.53061224489795,156.1377551020408,152.53061224489795,593.0,47146113.0,2.02,47000.0,0.0,1000.0,0.0,69.84904870954168,69.84904870954168,69.84904870954168,69.84904870954168,69.84904870954168,151.81109401705467,148.2,144.5889059829453
2025-03-11,154.07653061224488,153.5612244897959,154.07653061224488,150.46938775510202,1649.0,28101828.0,1.95,-56000.0,0.0,0.0,0.0,65.84407040315519,65.84407040315519,65.84407040315519,65.84407040315519,65.84407040315519,152.06190128605772,148.8,145.5380987139423
2025-03-12,151.5,153.04591836734693,154.07653061224488,151.5,419.0,11552664.0,1.92,-22000.0,0.0,-1000.0,0.0,59.70011219959148,59.70011219959148,59.70011219959148,59.70011219959148,59.70011219959148,152.07770876400008,148.5,144.92229123599992
2025-03-13,146.34693877551018,152.01530612244898,153.04591836734693,146.34693877551018,2047.0,45541164.0,1.99,45000.0,0.0,1000.0,0.0,49.70962346313525,49.70962346313525,49.70962346313525,49.70962346313525,49.70962346313525,153.30966987850383,147.1,140.89033012149616
2025-03-14,149.95408163265304,148.40816326530611,150.984693877551,147.37755102040816,564.0,18678714.0,2.06,40000.0,0.0,3000.0,0.0,55.343173633217944,55.343173633217944,55.343173633217944,55.343173633217944,55.343173633217944,153.29285308902138,147.0,140.70714691097862
2025-03-17,151.5,149.95408163265304,152.53061224489795,149.43877551020407,118.0,11988580.0,2.08,19000.0,0.0,0.0,0.0,57.53850680418216,57.53850680418216,57.53850680418216,57.53850680418216,57.53850680418216,151.12341345003847,146.2,141.2765865499615
2025-03-18,149.95408163265304,153.04591836734693,153.04591836734693,149.95408163265304,577.0,9215833.0,2.04,-34000.0,0.0,3000.0,0.0,54.645485979767486,54.645485979767486,54.645485979767486,54.645485979767486,54.645485979767486,149.0551333764995,145.4,141.7448666235005
2025-03-19,150.984693877551,150.46938775510202,151.5,149.95408163265304,179.0,12038666.0,2.1,44000.0,0.0,2000.0,0.0,56.22566381524876,56.22566381524876,56.22566381524876,56.22566381524876,56.22566381524876,148.79857113690585,145.3,141.80142886309417
